Date,Open,High,Low,Close,Volume,Adj Close
2013/6/3,208.25,210.05,207.33,208.95,3322000,205.67
2013/5/31,208.59,211.98,208.02,208.02,4949000,204.76
2013/5/30,206.97,210.99,206.97,209.36,4399700,206.08
2013/5/29,206.22,208.42,206.04,207.92,3439400,204.66
2013/5/28,207.44,208.59,207.16,207.78,4011500,204.52
2013/5/24,204.69,206.43,204.42,205.72,3295800,202.49
2013/5/23,205.48,208.61,205.13,206.16,5179100,202.93
2013/5/22,208.5,210.15,206.12,206.99,5186800,203.74
2013/5/21,207.24,209.48,207,208.65,2982900,205.38
2013/5/20,208.02,209.15,207.42,207.6,3614500,204.34
2013/5/17,205.25,209.5,204.99,208.44,5704100,205.17
2013/5/16,204,206.59,204,204.69,4507000,201.48
2013/5/15,202.25,203.68,202.04,203.32,4028100,200.13
2013/5/14,202.09,203.67,202.08,203.21,3699700,200.02
2013/5/13,204.18,204.47,202.22,202.47,3648400,199.29
2013/5/10,203.37,204.53,202.82,204.47,3279200,201.26
2013/5/9,204.69,205,202.72,203.24,3542300,200.05
2013/5/8,202.94,204.85,202.51,204.82,3601700,201.61
2013/5/7,202.81,203.73,201.65,203.63,3451000,199.5
2013/5/6,203.79,203.99,201.52,202.78,4826500,198.67
2013/5/3,203.94,205.32,203.75,204.51,4492700,200.36
2013/5/2,200.12,202.43,199.75,202.39,3945100,198.29
2013/5/1,201.87,202.17,199.2,199.63,4899100,195.58
2013/4/30,199.13,202.59,197.35,202.54,7539900,198.43
2013/4/29,194.78,199.68,194.65,199.15,5932400,195.11
2013/4/26,194.16,194.71,193.25,194.31,3490300,190.37
2013/4/25,192.69,195.17,192.32,193.95,4650900,190.02
2013/4/24,192.16,192.5,191.09,191.71,3693900,187.82
2013/4/23,189.27,192.55,188.61,191.61,6296100,187.72
2013/4/22,191.15,191.38,187.68,187.83,9845400,184.02
2013/4/19,195.74,196.5,189.76,190,18847000,186.15
2013/4/18,210.11,210.25,206.15,207.15,6502000,202.95
2013/4/17,210.53,211.09,209.5,209.67,3269800,205.42
2013/4/16,210.84,212,209.2,212,2859500,207.7
2013/4/15,210.44,211.69,209.26,209.26,4218100,205.02
2013/4/12,210.79,211.49,209.78,211.38,3165400,207.09
2013/4/11,211.5,213.09,210.85,212.92,3655600,208.6
2013/4/10,211.86,212.51,210.47,212,3524200,207.7
2013/4/9,209.56,210,208.61,209.22,2577300,204.98
2013/4/8,209.07,209.32,207.33,209.32,2351200,205.08
2013/4/5,209.1,209.84,206.34,209.41,4148000,205.16
2013/4/4,212.77,212.93,210.04,211.31,3709500,207.03
2013/4/3,214.32,214.89,212.63,212.66,3128800,208.35
2013/4/2,212.92,214.71,211.57,214.36,3116800,210.01
2013/4/1,212.8,213.5,211.25,212.38,2144500,208.07
2013/3/28,209.83,213.44,209.74,213.3,3749900,208.97
2013/3/27,210.96,212.16,210.1,210.89,3223400,206.61
2013/3/26,211.77,212.5,211.5,212.36,2300300,208.05
2013/3/25,212.54,212.81,210.05,210.74,3242500,206.47
2013/3/22,212.21,213.17,211.62,212.08,3031500,207.78
2013/3/21,212.96,213,210.11,212.26,5830400,207.96
2013/3/20,214.76,215.82,214.3,215.06,3019000,210.7
2013/3/19,214.13,215.12,211.83,213.44,3198600,209.11
2013/3/18,212.9,214.5,212.64,213.21,3006000,208.89
2013/3/15,215.38,215.9,213.41,214.92,7930300,210.56
2013/3/14,212.15,215.86,212.15,215.8,5505500,211.42
2013/3/13,210.2,212.36,209.77,212.06,3355900,207.76
2013/3/12,209.4,210.73,209.09,210.55,3591600,206.28
2013/3/11,210.04,210.2,209.04,210.08,3049700,205.82
2013/3/8,209.85,210.74,209.43,210.38,3700500,206.11
2013/3/7,208.29,209.6,208.24,209.42,3884400,205.17
2013/3/6,207.03,208.49,206.66,208.38,3594800,204.15
2013/3/5,205.86,207.7,205.69,206.53,3807800,202.34
2013/3/4,202.59,205.19,202.55,205.19,3693400,201.03
2013/3/1,200.65,202.94,199.36,202.91,3308300,198.8
2013/2/28,202.18,203.12,200.79,200.83,4689200,196.76
2013/2/27,198.89,202.75,198.6,202.33,4185100,198.23
2013/2/26,198.63,199.9,197.84,199.14,3391600,195.1
2013/2/25,201.67,202.49,197.51,197.51,3844800,193.51
2013/2/22,199.23,201.09,198.84,201.09,3107900,197.01
2013/2/21,198.63,199.07,198.11,198.33,3922900,194.31
2013/2/20,200.62,201.72,198.86,199.31,3715400,195.27
2013/2/19,200.6,201.89,200.22,200.32,2998300,196.26
2013/2/15,199.98,201.25,199.82,200.98,3627800,196.9
2013/2/14,199.73,200.32,199.26,199.65,3294200,195.6
2013/2/13,200.65,200.95,199.57,200.09,2169800,196.03
2013/2/12,200.01,200.74,199.02,200.04,2461800,195.98
2013/2/11,200.98,201.95,199.75,200.16,2944700,196.1
2013/2/8,199.97,202.09,199.68,201.68,2893300,197.59
2013/2/7,200.62,200.91,198.68,199.74,3076700,195.69
2013/2/6,200.39,201.29,199.56,201.02,3624200,196.94
2013/2/5,204.31,204.75,202.51,202.79,3636900,197.85
2013/2/4,204.19,205.02,203.57,203.79,3188800,198.82
2013/2/1,204.65,205.35,203.84,205.18,3370700,200.18
2013/1/31,203.32,204.47,202.96,203.07,3091400,198.12
2013/1/30,203.69,204.88,203.19,203.52,2998400,198.56
2013/1/29,204.34,205.73,203.64,203.9,3617100,198.93
2013/1/28,204.85,206.22,204.29,204.93,2823700,199.93
2013/1/25,204.45,205.18,204.13,204.97,3358900,199.97
2013/1/24,203.91,205.06,203.08,204.42,4447200,199.44
2013/1/23,203.5,208.58,203.36,204.72,12530500,199.73
2013/1/22,194.36,196.08,194.01,196.08,7172300,191.3
2013/1/18,194.03,195,193.8,194.47,4559600,189.73
2013/1/17,193.85,194.46,193.24,193.65,3881600,188.93
2013/1/16,192,193.18,191.35,192.59,2962900,187.89
2013/1/15,191.31,192.73,190.39,192.5,4172100,187.81
2013/1/14,192.82,193.28,191.75,192.62,4172200,187.92
2013/1/11,194.15,195,192.9,194.45,3880400,189.71
2013/1/10,192.65,192.96,191.28,192.88,3608100,188.18
2013/1/9,193.48,193.49,191.65,192.32,3212000,187.63
2013/1/8,192.92,193.3,191.6,192.87,3026900,188.17
2013/1/7,193.4,193.78,192.34,193.14,2862300,188.43
2013/1/4,194.19,194.46,192.78,193.99,3380200,189.26
2013/1/3,195.67,196.29,194.44,195.27,3644700,190.51
2013/1/2,194.09,196.35,193.8,196.35,4234100,191.56
2012/12/31,189.23,191.68,188.84,191.55,4684900,186.88
2012/12/28,191.11,192.22,189.83,189.83,3536600,185.2
2012/12/27,191.53,193.28,190.7,192.71,3967600,188.01
2012/12/26,192.21,193.53,190.95,191.95,2776500,187.27
2012/12/24,193.05,193.83,192.02,192.4,1631200,187.71
2012/12/21,193.1,194.5,191.57,193.42,8225300,188.7
2012/12/20,194.47,194.95,193.16,194.77,4184500,190.02
